번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
0,name,334.8,73.71,5.76,0.45,0,0
1,쌀밥,302.36,65.52,6.71,0.75,0,0
2,기타잡곡밥,322.9,65.85,8.43,1.67,0,0
3,콩밥,316.1,70.57,5.55,0.14,0,0
4,보리밥,528.86,101.85,10.19,8.35,0,0
5,돌솥밥,351.35,77.88,6.66,1.1,0,0
6,현미밥,318,70.29,5.44,0.39,0,0
7,흑미밥,308,68.64,5.68,0.08,0,0
8,감자밥,506.8,108.05,14.14,8.37,0,0
9,곤드레밥,656.98,79.29,8.74,5.06,4,0
10,김치볶음밥,209.56,36.18,6.7,3.46,0,0
11,주먹밥,687.74,100.33,24.46,19.29,0,0
12,볶음밥,703,95.68,22.6,25.28,3.44,0
13,일반비빔밥,662.19,92.99,15.84,13.03,3.44,0
14,전주비빔밥,683.62,113.43,19.26,16.84,5.09,0
15,삼선볶음밥,634.52,91.62,24.12,17.91,0,0
16,새우볶음밥,606.54,92.1,15.16,3.45,0,0
17,알밥,495.89,89.66,10.66,10.99,0.52,0
18,산채비빔밥,684.99,101.62,23.15,19.75,0,0
19,오므라이스,661.41,91.74,32,17.54,2.58,0
20,육회비빔밥,659.23,85.19,22.68,23.71,0,0
21,해물볶음밥,445.66,90.03,12.99,3.16,1.72,0
22,열무비빔밥,699.96,92.09,29.31,21.4,5.99,0
23,불고기덮밥,331.71,54.93,16.04,4.74,0,0
24,소고기국밥,600.42,103.57,16.28,14.45,0,0
25,송이덮밥,693.98,83.43,40.59,20.92,2.69,0
26,오징어덮밥,729.62,98.08,25.76,24.95,4,0
27,자장밥,851.54,125.7,21.14,28.61,4,0
28,잡채밥,737.23,100.55,29.02,22.48,0,0
29,잡탕밥,671.72,103.04,26.14,19.24,0,0
30,장어덮밥,796.94,95.8,37.8,27.52,5.4,0
31,제육덮밥,696.69,93.42,41.8,22.42,0,0
32,짬뽕밥,690.35,34.23,17.34,16.48,0,0
33,순대국밥,653.24,92.58,13.4,10.67,0,0
34,카레라이스,432.38,88.73,12.5,3.53,0,0
