번호,대표음식명,에너지(㎉),탄수화물(g),단백질(g),지방(g),총당류(g),나트륨(㎎)
1,쌀밥,295.7,65.5,6.7,0.8,0,0
2,기타잡곡밥,312.2,65.8,8.4,1.7,0,0
3,콩밥,305.7,70.6,5.6,0.1,0,0
4,보리밥,523.3,101.8,10.2,8.4,0,0
5,돌솥밥,348.1,77.9,6.7,1.1,0,0
6,현미밥,306.4,70.3,5.4,0.4,0,0
7,흑미밥,298,68.6,5.7,0.1,0,0
8,감자밥,564.1,108,14.1,8.4,0,0
9,곤드레밥,397.7,79.3,8.7,5.1,4,0
10,김치볶음밥,405.3,72.4,13.4,6.9,0,0
11,주먹밥,672.8,100.3,24.5,19.3,0,0
12,볶음밥,700.6,95.7,22.6,25.3,3.4,0
13,일반비빔밥,552.6,93,15.8,13,3.4,0
14,전주비빔밥,682.3,113.4,19.3,16.8,5.1,0
15,삼선볶음밥,624.2,91.6,24.1,17.9,0,0
16,새우볶음밥,460.1,92.1,15.2,3.4,0,0
17,알밥,500.2,89.7,10.7,11,0.5,0
18,산채비빔밥,676.8,101.6,23.2,19.8,0,0
19,오므라이스,652.8,91.7,32,17.5,2.6,0
20,육회비빔밥,644.9,85.2,22.7,23.7,0,0
21,해물볶음밥,440.5,90,13,3.2,1.7,0
22,열무비빔밥,678.2,92.1,29.3,21.4,6,0
23,불고기덮밥,653.1,109.9,32.1,9.5,0,0
24,소고기국밥,609.4,103.6,16.3,14.4,0,0
25,송이덮밥,684.4,83.4,40.6,20.9,2.7,0
26,오징어덮밥,719.9,98.1,25.8,25,4,0
27,자장밥,844.8,125.7,21.1,28.6,4,0
28,잡채밥,720.6,100.6,29,22.5,0,0
29,잡탕밥,689.9,103,26.1,19.2,0,0
30,장어덮밥,782.1,95.8,37.8,27.5,5.4,0
31,제육덮밥,742.7,93.4,41.8,22.4,0,0
32,짬뽕밥,709.2,68.5,34.7,33,0,0
33,순대국밥,520,92.6,13.4,10.7,0,0
34,카레라이스,436.7,88.7,12.5,3.5,0,0
35,전주콩나물국밥,868.5,100.1,51.8,29,0,0
36,해물덮밥,681.6,101.8,43,11.4,18.4,0
37,회덮밥,870.8,77.1,48.9,40.8,0,0
38,소머리국밥,868.2,78.3,56.8,36.4,3.3,0
39,돼지국밥,457.1,84.6,7.9,9.7,0,0
40,하이라이스,374.6,71.8,11.4,4.6,0,0
41,김치김밥,397.6,74.1,19.9,2.4,7,0
42,농어초밥,364.2,71.8,16.9,1,5,0
43,문어초밥,380,69.5,22.7,1.2,3,0
44,새우초밥,580.5,81.5,21.1,18.9,4,0
45,새우튀김롤,422,75.8,12.8,7.5,0,0
46,샐러드김밥,454,72.5,33.7,3.2,5.2,0
47,광어초밥,422.7,76.1,14.7,6.6,0,0
48,소고기김밥,181.8,32.8,6.9,2.6,0,0
49,갈비삼각김밥,519.8,76.1,20.7,14.7,0,0
50,연어롤,435.1,70.9,24.9,5.8,4,0
51,연어초밥,464.4,78.5,12.4,11.2,6.8,0
52,유부초밥,479.2,74.8,16.3,12.7,2.1,0
53,장어초밥,400.8,47.6,19.8,14.6,0,0
54,참치김밥,186.2,31.9,8.1,2.9,0,0
55,참치마요삼각김밥,456.6,77.1,17.1,8.8,0,0
56,치즈김밥,463.6,81.2,12.8,9.7,0,0
57,캘리포니아롤,374.2,77.3,13.5,1.2,1.7,0
58,한치초밥,344.5,63.6,10.3,5.4,0,0
59,일반김밥,841.5,121.8,29.3,26.4,6.8,0
60,간자장,682.7,115.8,37.4,7.8,2,0
61,굴짬뽕,666.3,98.3,43.5,11,0,0
62,기스면,557.2,80.6,13,20.3,2.3,0
63,김치라면,505.9,99.1,16.7,4.7,0,0
64,김치우동,460.4,91.1,15.6,3.7,4.5,0
65,김치말이국수,616.7,70.2,39.9,19.6,0,0
66,닭칼국수,437.6,76.7,17.5,6.8,2.4,0
67,들깨칼국수,704.3,121.1,15.4,17.6,0,0
